name,id,sub1,sub2,sub3,marks,percentage,result,course_enrollment_date,study_hrs_per_day,age,grade,random_color,device_id
      teja sharma      ,     id_543    ,   83   ,   30   ,   107   ,   83+30+107   ,   59.0   ,   Pass   ,   05-Feb-2021   ,    0    ,   17   ,   Average   ,   green   ,   3ADDE829   
     Divya Patel      ,     id_544    ,   67   ,   73   ,   107   ,   225   ,   75.0   ,   Pass   ,   10-30-2019   ,   2.5   ,   16   ,   B+   ,   None   ,   BD25F319   
      divya varma      ,       545        ,   -10   ,   74   ,   59   ,   -10+74+59   ,   56.0   ,   Pass   ,   07/12/2024   ,   6.7   ,   18   ,   C   ,   black   ,   CF0DDB9B   
     Prasad Khan      ,    STU-0546    ,   55   ,   76   ,   107   ,   55+76+107   ,   72.33   ,   Pass   ,"   July 05, 2021   ",   4.9   ,   67   ,   B   ,   None   ,   BC652AFB   
     VIKRAM VARMA     ,     00547     ,   AB   ,   42   ,   76   ,   207   ,   69.0   ,   Pass   ,   None   ,   4.6   ,     18 years    ,   Good   ,   blue   ,   0000   
     LOKESH GOUD     ,       548        ,   None   ,   -18   ,   64   ,   None+-18+64   ,   51.67   ,   Pass   ,   11-Apr-2023   ,   2.0   ,   61   ,   Average   ,   white   ,   DB714C91   
     LOKESH GOUD     ,   None   ,   39   ,   50   ,   48   ,   137   ,   45.67   ,   Pass   ,   09/10/2018   ,   25.2   ,   17   ,   None   ,   red   ,   B14BC03B   
      rahul naidu      ,     id_550    ,   37   ,   38   ,   37   ,   37+38+37   ,   37.33   ,   Fail   ,   None   ,   0.7   ,   19   ,   Poor   ,   red   ,   None   
     DEVIKA AGARWAL     ,   551   ,   87   ,   150   ,   -24   ,   87+150+-24   ,   65.67   ,   Pass   ,"   August 26, 2023   ",   7.4   ,     19 years    ,   B   ,      ,   75E53E64   
      teja sharma      ,     00552     ,   138   ,   38   ,   59   ,   138+38+59   ,   51.33   ,   Pass   ,   None   ,   2.6   ,   18   ,   Average   ,      ,   01301E6B   
      lokesh rao      ,   553   ,   87   ,   44   ,   36   ,   87+44+36   ,   55.67   ,   Pass   ,   11-Sep-2018   ,   26.0   ,   18.5   ,   C   ,   white   ,   E14CBAB4   
     SHIVA GOUD     ,     S554X     ,   71   ,   39   ,   96   ,   206   ,   111.07   ,   Pass   ,   None   ,   3.5   ,   17   ,   B+   ,   blue   ,   dev-123   
     VARUN GOUD     ,     S555X     ,   51   ,   71   ,   94   ,   51+71+94   ,   72.0   ,   Pass   ,   11-25-2018   ,   0.3   ,   19   ,   B+   ,   blue   ,   66D41EF7   
      lokesh goud      ,     00556     ,   35   ,   None   ,   65   ,   35+None+65   ,   51.0   ,   Pass   ,   21-Nov-2021   ,   35.7   ,     18 years    ,   Average   ,   red   ,   29A080F0   
     ROHIT PATEL     ,    STU-0557    ,   85   ,   None   ,   54   ,   217   ,   72.33   ,   Pass   ,   2022-03-21   ,   7.2   ,   19   ,   B+   ,   white   ,   1A27E51C   
     PRASAD SHARMA     ,     S558X     ,   79   ,   150   ,   66   ,   79+150+66   ,   66.67%   ,   Pass   ,   07/04/2021   ,   6.7   ,   19.5   ,   B+   ,   black   ,   51B44431   
     Pooja Patel      ,     id_559    ,   38   ,   66   ,   30   ,   38+66+30   ,   44.67   ,   Pass   ,"   September 13, 2022   ",   1.0   ,   18.5   ,   D   ,   red   ,   None   
      shiva rao      ,    STU-0560    ,   96   ,   97   ,   44   ,   check   ,   79.0   ,   Pass   ,"   August 10, 2024   ",   None   ,     17 years    ,   A   ,   red   ,   FAA7F5A8   
     Shiva Goud      ,       561        ,   99   ,   79   ,   66   ,   99+79+66   ,   81.33   ,   Pass   ,   16/04/2021   ,   6.5   ,   18.5   ,   A+   ,   black   ,   FBFFF4D4   
     DEVIKA REDDY     ,     S562X     ,   66   ,   53   ,   42   ,   161   ,   -19.31   ,   Pass   ,   10-17-2019   ,    two    ,   18   ,   None   ,   green   ,   38BEFAF1   
     Harika Goud      ,     id_563    ,   None   ,   48   ,   37   ,   None+48+37   ,   51.0   ,   Pass   ,   17-Oct-2021   ,   -3.7   ,     19 years    ,   C   ,   blue   ,   738E5390   
     RAHUL KHAN     ,       564        ,   73   ,   150   ,   107   ,   73+150+107   ,   65.33   ,   Pass   ,"   January 30, 2020   ",   4.0   ,   18   ,   Good   ,   None   ,   036B4F26   
      kiran khan      ,    STU-0565    ,   138   ,   68   ,   89   ,   138+68+89   ,   72.33   ,   Pass   ,   12-04-2022   ,   None   ,   17   ,   B+   ,   white   ,   F3F01767   
     PRASAD GOUD     ,     00566     ,   AB   ,   None   ,   30   ,   AB+None+30   ,   48.33   ,   Pass   ,   29/11/2020   ,   7.2   ,   18.5   ,   Below Avg   ,   yellow   ,   2EA90D5B   
     POOJA KHAN     ,       567        ,   88   ,   48   ,   65   ,   error   ,   67.0%   ,   Pass   ,   2019-02-20   ,    0    ,   None   ,   B   ,   None   ,   None   
      meena varma      ,   568   ,   None   ,   65   ,   64   ,   None+65+64   ,   55.33   ,   Pass   ,   12-Sep-2018   ,   2.3   ,   None   ,   Average   ,   yellow   ,   4E602D03   
     Rohit Khan      ,     00569     ,   AB   ,   84   ,   AB   ,   AB+84+AB   ,   87.67   ,   Pass   ,   2021-03-12   ,     2.4 hrs    ,   5   ,   A    ,   black   ,   16CA573D   
     SURESH GUPTA     ,     00570     ,   46   ,   98   ,   92   ,   46+98+92   ,   78.67   ,   Pass   ,   20-Feb-2023   ,   7.1   ,   16   ,   Distinction   ,      ,   95182360   
      anita reddy      ,    STU-0571    ,   -10   ,   76   ,   -24   ,   -10+76+-24   ,   75.67   ,   Pass   ,   18/06/2020   ,   0.1   ,     16 years    ,   A    ,   green   ,   342FCC4E   
     DEVIKA NAIDU     ,    STU-0572    ,   88   ,   78   ,   38   ,   204   ,   68.0   ,   Pass   ,   2023-08-21   ,   2.6   ,   19   ,   B   ,   blue   ,   0F7BD074   
     KIRAN KHAN     ,     id_573    ,   39   ,   62   ,   63   ,   39+62+63   ,   54.67   ,   Pass   ,   26/01/2018   ,   4.4   ,   None   ,   C   ,   None   ,   E30BDD71   
     MEENA GUPTA     ,     id_574    ,   91   ,   50   ,   75   ,   91+50+75   ,   72.0   ,   Pass   ,"   February 25, 2019   ",    0    ,     19 years    ,   B+   ,   green   ,   None   
     SNEHA GOUD     ,   575   ,   51   ,   51   ,   33   ,   51+51+33   ,   45.0   ,   Pass   ,   2021-05-29   ,   None   ,   48   ,   Below Avg   ,   yellow   ,   XXXXXXXX   
     AKASH PATEL     ,     00576     ,   81   ,   150   ,   59   ,   check   ,   72.33   ,   Pass   ,"   February 20, 2023   ",   6.5   ,   None   ,   Good   ,   None   ,   3780F4B9   
     TEJA VARMA     ,   577   ,   57   ,   66   ,   32   ,   155   ,   51.67   ,   Pass   ,"   December 18, 2024   ",   7.2   ,   19   ,   C   ,   blue   ,   None   
     Vikram Agarwal      ,   578   ,   48   ,   44   ,   43   ,   48+44+43   ,   45.0   ,   Pass   ,   14/06/2021   ,   None   ,   18   ,   D   ,   white   ,   8E8DB6F3   
      meena agarwal      ,    STU-0579    ,   85   ,   64   ,   89   ,   85+64+89   ,   79.33   ,   Pass   ,"   April 03, 2024   ",     7.2 hrs    ,   19   ,   A   ,   white   ,   05D0CC91   
     NAVEEN GOUD     ,   580   ,   72   ,   61   ,   74   ,   72+61+74   ,   69.0   ,   Pass   ,   2020-10-05   ,   4.4   ,   16   ,   B+   ,   white   ,   E31F9F04   
     TEJA GOUD     ,   581   ,   98   ,   40   ,   63   ,   98+40+63   ,   67.0   ,   Pass   ,   08-07-2018   ,   6.5   ,   68   ,   None   ,   black   ,   988F57A9   
     PRASAD GOUD     ,       582        ,   72   ,   -18   ,   74   ,   72+-18+74   ,   61.67   ,   Pass   ,"   February 19, 2022   ",   3.1   ,     19 years    ,   B   ,   None   ,   dev-123   
      akash sharma      ,     id_583    ,   -10   ,   150   ,   90   ,   -10+150+90   ,   159.43   ,   Pass   ,"   May 14, 2023   ",     5.3 hrs    ,   16   ,   A    ,   black   ,   E9F6B770   
     LOKESH SHARMA     ,   None   ,   64   ,   54   ,   -24   ,   64+54+-24   ,   54.33   ,   Pass   ,   13-Nov-2024   ,   24.7   ,   17   ,   Average   ,   green   ,   809EB7DD   
     VIKRAM VARMA     ,     00585     ,   85   ,   31   ,   95   ,   211   ,   70.33   ,   Pass   ,   10-25-2019   ,   1.8   ,   17   ,   B   ,   black   ,   884860A7   
     HARIKA AGARWAL     ,     id_586    ,   97   ,   ?   ,   69   ,   259   ,   86.33   ,   Pass   ,   16-Sep-2020   ,   3.1   ,   10   ,   A+   ,   green   ,   XXXXXXXX   
     MEENA SHARMA     ,     S587X     ,   AB   ,   64   ,   46   ,   AB+64+46   ,   65.33   ,   Pass   ,   07-08-2018   ,   3.8   ,   19   ,   None   ,   green   ,   752F3751   
     HARIKA REDDY     ,     00588     ,   138   ,   36   ,   107   ,   138+36+107   ,   57.0   ,   Pass   ,   12/09/2018   ,   1.1   ,   16   ,   C   ,   red   ,   AA446C04   
      suresh agarwal      ,       589        ,   138   ,   None   ,   45   ,   138+None+45   ,   52.0   ,   Pass   ,   2018-03-09   ,   None   ,   7   ,   Average   ,   blue   ,   FBC29767   
      anita naidu      ,     id_590    ,   85   ,   96   ,   89   ,   270   ,   90.0   ,   Pass   ,   08-Sep-2019   ,   38.9   ,   18   ,   A+   ,   red   ,   46F15E47   
     MEENA GOUD     ,       591        ,   138   ,   None   ,   -24   ,   205   ,   68.33   ,   Pass   ,   11/07/2024   ,    two    ,   19   ,   B   ,   white   ,   6D0C898D   
     SHIVA PATEL     ,     id_592    ,   63   ,   68   ,   95   ,   226   ,   75.33   ,   Pass   ,   None   ,   -3.2   ,   17   ,   A+   ,   white   ,   984489D5   
     Meena Sharma      ,     id_593    ,   38   ,   -18   ,   -24   ,   38+-18+-24   ,   50.0   ,   Pass   ,   05-Jun-2024   ,   0.7   ,   19.5   ,   D   ,   black   ,   None   
     POOJA NAIDU     ,       594        ,   44   ,   53   ,   None   ,   44+53+None   ,   60.67   ,   Pass   ,   14-Jun-2022   ,   0.5   ,   16   ,   None   ,   green   ,   50814B5D   
      rahul khan      ,   595   ,   90   ,   150   ,   60   ,   239   ,   79.67   ,   Pass   ,   23/12/2018   ,   7.1   ,   66   ,   Distinction   ,   yellow   ,   76E1C739   
      sanjana rao      ,   596   ,   51   ,   150   ,   63   ,   51+150+63   ,   63.0   ,   Pass   ,   2018-09-13   ,   32.2   ,   16   ,   B   ,   yellow   ,   E400CEE3   
      divya varma      ,   597   ,   51   ,   48   ,   68   ,   51+48+68   ,   incomplete   ,   Pass   ,   04-Oct-2020   ,   2.6   ,   18   ,   Average   ,   green   ,   8F41ACF5   
     SNEHA NAIDU     ,     S598X     ,   68   ,   97   ,   96   ,   68+97+96   ,   101.75   ,   Pass   ,   07-28-2024   ,   3.8   ,   19   ,   A+   ,   red   ,   4555EBAF   
     DEVIKA PATEL     ,   599   ,   40   ,   ?   ,   107   ,   check   ,   49.33   ,   Pass   ,"   October 22, 2022   ",   2.5   ,     19 years    ,   None   ,   multi   ,   None   
     ANITA GUPTA     ,     id_600    ,   None   ,   61   ,   84   ,   None+61+84   ,   77.33   ,   Pass   ,   11-Oct-2018   ,   3.9   ,   16   ,   None   ,   red   ,   id_missing   
     KIRAN REDDY     ,    STU-0601    ,   AB   ,   68   ,   56   ,   AB+68+56   ,   -23.82   ,   Pass   ,   09-Apr-2018   ,     6.9 hrs    ,   None   ,   B+   ,   green   ,   None   
     DEVIKA NAIDU     ,       602        ,   57   ,   65   ,   82   ,   error   ,   68.0   ,   Pass   ,"   July 16, 2018   ",   4.7   ,     18 years    ,   Good   ,   green   ,   None   
     Anita Sharma      ,    STU-0603    ,   89   ,   65   ,   68   ,   89+65+68   ,   74.0   ,   Pass   ,"   December 04, 2024   ",   5.6   ,   None   ,   B   ,   blue   ,   836EF8F9   
     POOJA AGARWAL     ,     S604X     ,   50   ,   ?   ,   94   ,   50+?+94   ,   58.67   ,   Pass   ,   2020-05-27   ,   None   ,   None   ,   C   ,   black   ,   XXXXXXXX   
     VIKRAM PATEL     ,    STU-0605    ,   AB   ,   37   ,   46   ,   AB+37+46   ,   null   ,   Pass   ,   None   ,   None   ,   18.5   ,   Below Avg   ,   black   ,   AE5098AF   
      lokesh rao      ,     00606     ,   38   ,   ?   ,   59   ,   38+?+59   ,   65.33   ,   Pass   ,"   October 20, 2021   ",   5.3   ,   42   ,   Good   ,   blue   ,   51177BB7   
     Sanjana Patel      ,   607   ,   AB   ,   70   ,   82   ,   AB+70+82   ,   63.33   ,   Pass   ,"   August 12, 2024   ",   37.9   ,     17 years    ,   B   ,   N/A   ,   CC2E8339   
     SHIVA GUPTA     ,     S608X     ,   90   ,   150   ,   42   ,   90+150+42   ,   76.33   ,   Pass   ,   07-24-2019   ,   4.6   ,     16 years    ,   Distinction   ,   yellow   ,   230B648A   
     Varun Sharma      ,     id_609    ,   59   ,   42   ,   50   ,   151   ,   50.33   ,   Pass   ,"   December 01, 2020   ",   None   ,   49   ,   Average   ,   black   ,   440397CB   
     PRASAD KHAN     ,   610   ,   61   ,   78   ,   48   ,   61+78+48   ,   N/A   ,   Pass   ,   02-26-2019   ,   6.4   ,   16   ,   Good   ,   black   ,   74193A94   
     VARUN GOUD     ,   611   ,   66   ,   89   ,   82   ,   66+89+82   ,   79.0   ,   Pass   ,   04-19-2021   ,     3.4 hrs    ,   19.5   ,   A   ,   black   ,   9F5593DA   
     KIRAN RAO     ,    STU-0612    ,   84   ,   31   ,   48   ,   84+31+48   ,   54.33   ,   Pass   ,   29/06/2019   ,   8.0   ,   18   ,   Average   ,   yellow   ,   4FAB900C   
     ROHIT NAIDU     ,     00613     ,   95   ,   89   ,   86   ,   270   ,   90.0   ,   Pass   ,   12-Mar-2018   ,   0.7   ,   18   ,   A    ,   black   ,   None   
     Lokesh Varma      ,   614   ,   85   ,   34   ,   107   ,   173   ,   57.67   ,   Pass   ,   2021-05-08   ,   6.2   ,   5   ,   C   ,   unknown   ,   id_missing   
     MEENA SHARMA     ,       615        ,   53   ,   73   ,   60   ,   53+73+60   ,   62.0   ,   Pass   ,   None   ,   5.4   ,   16   ,   B   ,   yellow   ,   47218130   
     MEENA AGARWAL     ,       616        ,   55   ,   56   ,   84   ,   55+56+84   ,   65.0   ,   Pass   ,   06-12-2024   ,   6.1   ,   19   ,   None   ,   blue   ,   id_missing   
      meena reddy      ,   617   ,   39   ,   None   ,   AB   ,   error   ,   incomplete   ,   Pass   ,   09-03-2022   ,   2.5   ,   None   ,   Average   ,   red   ,   D4C142E0   
     HARIKA GOUD     ,    STU-0618    ,   76   ,   50   ,   None   ,   76+50+None   ,   62.33   ,   Pass   ,   2024-08-21   ,   3.9   ,   19   ,   B+   ,   blue   ,   81CC872E   
     ROHIT SHARMA     ,    STU-0619    ,   95   ,   37   ,   91   ,   95+37+91   ,   108.42   ,   Pass   ,"   October 17, 2019   ",   6.4   ,   17   ,   B+   ,   red   ,   ABAB0B43   
     LOKESH SHARMA     ,     id_620    ,   56   ,   79   ,   107   ,   174   ,   absent   ,   Pass   ,   12-Sep-2024   ,   1.9   ,   16   ,   None   ,   blue   ,   EEB2B4CC   
     ROHIT KHAN     ,     S621X     ,   55   ,   96   ,   83   ,   55+96+83   ,   78.0   ,   Pass   ,   12-02-2022   ,   None   ,   16   ,   Distinction   ,   white   ,   0B8E3143   
     RAHUL REDDY     ,     S622X     ,   35   ,   73   ,   81   ,   35+73+81   ,   63.0   ,   Pass   ,   2018-08-09   ,   4.4   ,   17.5   ,   B   ,   red   ,   XXXXXXXX   
      akash varma      ,     S623X     ,   39   ,   150   ,   49   ,   39+150+49   ,   58.33   ,   Pass   ,   2018-07-01   ,   4.2   ,   17   ,   C   ,   red   ,   B2ABC157   
     VIKRAM KHAN     ,     00624     ,   46   ,   32   ,   61   ,   46+32+61   ,   None   ,   Pass   ,   None   ,    two    ,   17   ,   Below Avg   ,   green   ,   93139F45   
     Rohit Sharma      ,    STU-0625    ,   80   ,   99   ,   43   ,   300/300   ,   74.0   ,   Pass   ,   20-Nov-2021   ,   2.4   ,   54   ,   B   ,   red   ,   0ECABA97   
      sanjana varma      ,     id_626    ,   68   ,   31   ,   79   ,   68+31+79   ,   59.33   ,   Pass   ,   10-Oct-2020   ,     2.2 hrs    ,   17   ,   C   ,   None   ,   D44046DE   
     SHIVA VARMA     ,       627        ,   83   ,   73   ,   57   ,   83+73+57   ,   71.0   ,   Pass   ,   2023-08-14   ,   6.2   ,   16   ,   B+   ,   green   ,   None   
      pooja rao      ,     S628X     ,   79   ,   31   ,   82   ,   79+31+82   ,   64.0   ,   Pass   ,   27/04/2020   ,   -5.2   ,   62   ,   B   ,   black   ,   73D37AA4   
      vikram khan      ,       629        ,   61   ,   None   ,   53   ,   61+None+53   ,   59.33   ,   Pass   ,   03-14-2020   ,   6.7   ,   60   ,   None   ,   black   ,   597532E1   
      rahul goud      ,       630        ,   60   ,   59   ,   51   ,   170   ,   56.67   ,   Pass   ,   None   ,   7.8   ,   None   ,   C   ,   green   ,   13347152   
     Vikram Gupta      ,   631   ,   81   ,   37   ,   None   ,   81+37+None   ,   59.0   ,   Pass   ,   14/12/2021   ,   3.8   ,   19   ,   C   ,   yellow   ,   0FB80119   
      sanjana goud      ,     00632     ,   90   ,   51   ,   92   ,   90+51+92   ,   77.67   ,   Pass   ,"   April 11, 2018   ",     0.5 hrs    ,   19   ,   A+   ,   red   ,   F5AEDFDD   
      teja sharma      ,     id_633    ,   -10   ,   73   ,   33   ,   -10+73+33   ,   67.67   ,   Pass   ,   2019-07-27   ,    0    ,   19   ,   B+   ,   red   ,   8F374CE5   
     RAHUL GUPTA     ,     00634     ,   138   ,   ?   ,   88   ,   138+?+88   ,   85.67%   ,   Pass   ,   2021-08-25   ,   None   ,   18   ,   A   ,   green   ,   97456673   
     RAHUL RAO     ,   635   ,   95   ,   65   ,   37   ,   95+65+37   ,   65.67   ,   Pass   ,   10-20-2019   ,   7.5   ,   16.5   ,   Good   ,   None   ,   E54CD3B0   
      pooja khan      ,     id_636    ,   60   ,   98   ,   41   ,   199   ,   66.33   ,   Pass   ,   14/03/2022   ,    0    ,   44   ,   Good   ,   yellow   ,   9EDAA8FC   
     Akash Reddy      ,     id_637    ,   70   ,   60   ,   60   ,   190   ,   63.33   ,   Pass   ,"   July 15, 2022   ",   2.2   ,   16   ,   B+   ,   white   ,   78AB03BD   
      teja goud      ,    STU-0638    ,   -10   ,   150   ,   63   ,   -10+150+63   ,   58.0   ,   Pass   ,"   August 14, 2018   ",   3.2   ,   18   ,   Average   ,   black   ,   EFFA8EC5   
     KIRAN GUPTA     ,     00639     ,   42   ,   84   ,   78   ,   204   ,   68.0   ,   Pass   ,   04-15-2018   ,   4.8   ,   17   ,   None   ,   blue   ,   2458117B   
     VARUN AGARWAL     ,     00640     ,   86   ,   91   ,   86   ,   86+91+86   ,   87.67%   ,   Pass   ,   21/06/2023   ,     5.2 hrs    ,   17   ,   Distinction   ,   white   ,   B3697AB4   
     ANITA SHARMA     ,    STU-0641    ,   81   ,   59   ,   55   ,   81+59+55   ,   65.0   ,   Pass   ,   11/02/2020   ,   1.2   ,   17.5   ,   None   ,   black   ,   78CE125B   
     PRASAD NAIDU     ,       642        ,   90   ,   None   ,   47   ,   221   ,   73.67   ,   Pass   ,   05-Mar-2019   ,     7.8 hrs    ,   19   ,   B+   ,   red   ,   4FC7106D   
      meena agarwal      ,   643   ,   48   ,   45   ,   67   ,   48+45+67   ,   53.33   ,   Pass   ,   10-Mar-2019   ,   4.4   ,   17   ,   Average   ,   white   ,   6F2BF6F4   
      shiva sharma      ,     00644     ,   62   ,   41   ,   79   ,   182   ,   60.67   ,   Pass   ,   None   ,   1.1   ,   19   ,   B+   ,   green   ,   C60D6001   
     LOKESH AGARWAL     ,    STU-0645    ,   36   ,   46   ,   107   ,   N/A   ,   39.67   ,   Fail   ,   05-15-2020   ,   None   ,   56   ,   None   ,   yellow   ,   76FACA69   
     POOJA KHAN     ,     id_646    ,   60   ,   ?   ,   70   ,   175   ,   58.33   ,   Pass   ,   12/08/2024   ,    two    ,   18   ,   None   ,   black   ,   BF9CA644   
     KIRAN AGARWAL     ,     S647X     ,   48   ,   41   ,   35   ,   48+41+35   ,   41.33   ,   Pass   ,   None   ,   7.3   ,   19.5   ,   D   ,   yellow   ,   dev-123   
     DEVIKA NAIDU     ,    STU-0648    ,   -10   ,   37   ,   None   ,   228   ,   76.0   ,   Pass   ,   05-05-2020   ,   8.0   ,   68   ,   A    ,   black   ,   42E58AE2   
     Rahul Reddy      ,     S649X     ,   90   ,   32   ,   73   ,   195   ,   65.0   ,   Pass   ,   08-Apr-2021   ,   5.6   ,   17   ,   B   ,   white   ,   None   
     PRASAD PATEL     ,       650        ,   41   ,   45   ,   93   ,   41+45+93   ,   59.67   ,   Pass   ,   07-15-2019   ,   39.0   ,   10   ,   Average   ,   red   ,   860DEAF5   
     VARUN SHARMA     ,   651   ,   37   ,   ?   ,   None   ,   37+?+None   ,   51.33   ,   Pass   ,"   January 09, 2022   ",   2.7   ,   17   ,   C   ,   blue   ,   5C9EB226   
      prasad naidu      ,     S652X     ,   57   ,   52   ,   57   ,   57+52+57   ,   -4.9   ,   Pass   ,   30/05/2024   ,   7.5   ,   19   ,   None   ,   yellow   ,   CA63D659   
      sneha sharma      ,       653        ,   52   ,   34   ,   AB   ,   52+34+AB   ,   154.27   ,   Pass   ,   None   ,   4.2   ,   18   ,   Below Avg   ,   yellow   ,   None   
     AKASH KHAN     ,     S654X     ,   72   ,   94   ,   94   ,   260   ,   86.67   ,   Pass   ,   2021-03-19   ,   5.9   ,   17   ,   None   ,   blue   ,   E5196938   
      vikram sharma      ,     id_655    ,   49   ,   59   ,   48   ,   49+59+48   ,   52.0   ,   Pass   ,   03-09-2019   ,     7.4 hrs    ,   42   ,   None   ,   yellow   ,   423FE654   
      vikram goud      ,     id_656    ,   None   ,   50   ,   38   ,   error   ,   62.0   ,   Pass   ,   08-Oct-2023   ,   7.8   ,   None   ,   B   ,   None   ,   52DF37FB   
      divya khan      ,     id_657    ,   62   ,   150   ,   56   ,   62+150+56   ,   72.33   ,   Pass   ,   26-Aug-2020   ,     6.7 hrs    ,   17   ,   B   ,   black   ,   57BA811F   
     SANJANA RAO     ,     id_658    ,   73   ,   51   ,   63   ,   187   ,   62.33%   ,   Pass   ,   15/04/2020   ,    0    ,   19   ,   Good   ,   black   ,   2320E101   
      harika khan      ,    STU-0659    ,   91   ,   61   ,   73   ,   225   ,   75.0   ,   Pass   ,   2024-02-25   ,   7.7   ,   16   ,   B   ,   blue   ,   8197CC5C   
     NAVEEN GOUD     ,     id_660    ,   -10   ,   150   ,   97   ,   210   ,   70.0   ,   Pass   ,"   March 12, 2024   ",   5.0   ,   19   ,   B+   ,   red   ,   57BD159F   
     LOKESH AGARWAL     ,     id_661    ,   AB   ,   45   ,   44   ,   167   ,   55.67   ,   Pass   ,   2020-06-16   ,   None   ,   17   ,   Average   ,   white   ,   930B3ACF   
      divya patel      ,    STU-0662    ,   59   ,   67   ,   80   ,   59+67+80   ,   68.67   ,   Pass   ,   04-17-2019   ,   5.4   ,   59   ,   B   ,   white   ,   9E16C3A8   
     ANITA SHARMA     ,     id_663    ,   None   ,   43   ,   42   ,   None+43+42   ,   45.33%   ,   Pass   ,   2018-09-04   ,   2.5   ,   None   ,   Below Avg   ,   yellow   ,   8D71BF70   
     SANJANA VARMA     ,       664        ,   47   ,   65   ,   78   ,   47+65+78   ,   63.33   ,   Pass   ,   26/08/2024   ,   None   ,   18   ,   B   ,   red   ,   dev-123   
      varun naidu      ,       665        ,   59   ,   52   ,   99   ,   59+52+99   ,   70.0   ,   Pass   ,   None   ,   4.4   ,   18   ,   B   ,   blue   ,   None   
     Pooja Patel      ,     00666     ,   44   ,   95   ,   85   ,   224   ,   74.67   ,   Pass   ,   15-Jul-2020   ,   6.3   ,   17   ,   B+   ,   blue   ,   0D029854   
     Akash Naidu      ,       667        ,   52   ,   31   ,   None   ,   52+31+None   ,   54.33   ,   Pass   ,"   April 06, 2021   ",   None   ,   18   ,   Average   ,   black   ,   None   
     HARIKA PATEL     ,   668   ,   68   ,   94   ,   107   ,   228   ,   76.0   ,   Pass   ,   10/12/2020   ,   4.6   ,   17   ,   A   ,   yellow   ,   D33A3D18   
      anita rao      ,   669   ,   138   ,   96   ,   None   ,   138+96+None   ,   61.33   ,   Pass   ,   09/01/2023   ,   2.8   ,   16   ,   Good   ,   green   ,   None   
     VARUN RAO     ,   670   ,   74   ,   81   ,   None   ,   242   ,   80.67   ,   Pass   ,   11-20-2019   ,   6.5   ,   9   ,   A    ,   blue   ,   1630A7A0   
     SURESH RAO     ,    STU-0671    ,   76   ,   91   ,   -24   ,   N/A   ,   75.0   ,   Pass   ,   24/08/2024   ,    two    ,   50   ,   Good   ,   yellow   ,   dev-123   
     VIKRAM NAIDU     ,   None   ,   75   ,   52   ,   62   ,   189   ,   63.0   ,   Pass   ,   26-Nov-2024   ,   0.6   ,   16.5   ,   Good   ,   red   ,   EBE0C3FA   
     Sneha Sharma      ,   673   ,   AB   ,   55   ,   89   ,   AB+55+89   ,   61.33   ,   Pass   ,"   January 24, 2022   ",   None   ,   19   ,   B   ,   black   ,   A0F0F07B   
     SNEHA SHARMA     ,     00674     ,   86   ,   97   ,   84   ,   267   ,   89.0   ,   Pass   ,   08-17-2020   ,   0.5   ,   19   ,   Distinction   ,   white   ,   D63160BA   
     VARUN SHARMA     ,    STU-0675    ,   60   ,   84   ,   39   ,   60+84+39   ,   None   ,   Pass   ,   2019-04-23   ,     4.0 hrs    ,   16   ,   None   ,   red   ,   1010D8E9   
     MEENA GUPTA     ,     00676     ,   98   ,   35   ,   76   ,   209   ,   69.67   ,   Pass   ,   2019-12-08   ,   0.9   ,   17   ,   B+   ,   blue   ,   id_missing   
     SANJANA REDDY     ,   None   ,   93   ,   -18   ,   52   ,   93+-18+52   ,   69.67   ,   Pass   ,   2021-02-11   ,   0.9   ,     17 years    ,   B+   ,   blue   ,   D9F96208   
     SHIVA AGARWAL     ,     id_678    ,   90   ,   -18   ,   50   ,   N/A   ,   63.67%   ,   Pass   ,   2020-01-24   ,   None   ,   11   ,   B   ,   red   ,   1A17E9A8   
     SANJANA RAO     ,     00679     ,   93   ,   72   ,   42   ,   93+72+42   ,   69.0   ,   Pass   ,   25-Dec-2024   ,   None   ,   18   ,   Good   ,   blue   ,   1370F432   
     ANITA PATEL     ,     id_680    ,   67   ,   44   ,   62   ,   67+44+62   ,   129.61   ,   Pass   ,   None   ,    0    ,   19   ,   Average   ,   yellow   ,   A53E0BC2   
     MEENA PATEL     ,    STU-0681    ,   87   ,   89   ,   53   ,   87+89+53   ,   None   ,   Pass   ,   08-11-2019   ,     7.9 hrs    ,   18   ,   Distinction   ,   blue   ,   E039F4FE   
     Kiran Goud      ,     00682     ,   -10   ,   41   ,   40   ,   -10+41+40   ,   45.67   ,   Pass   ,   08-27-2021   ,   0.0   ,   17   ,   D   ,   black   ,   61D9F13A   
     Divya Goud      ,     00683     ,   55   ,   78   ,   46   ,   300/300   ,   59.67   ,   Pass   ,   2022-02-01   ,   4.9   ,   17   ,   C   ,   yellow   ,   54A18408   
     Meena Sharma      ,     S684X     ,   38   ,   ?   ,   107   ,   206   ,   68.67   ,   Pass   ,   22/01/2023   ,   4.9   ,     18 years    ,   B+   ,   green   ,   56264BA7   
      shiva agarwal      ,    STU-0685    ,   96   ,   67   ,   76   ,   96+67+76   ,   79.67   ,   Pass   ,   None   ,   3.7   ,   None   ,   Distinction   ,   blue   ,   44F77FC6   
